"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-5-15","708.93","710.14","715.13","705.55","51.79M","-1.51%"
"2026-5-14","719.79","714.62","722.03","714.22","33.33M","0.71%"
"2026-5-13","714.71","709.96","716.65","704.83","40.01M","1.06%"
"2026-5-12","707.24","708.22","710.18","696.64","45.87M","-0.85%"
"2026-5-11","713.29","710.36","714.59","708.91","36.02M","0.29%"
"2026-5-8","711.23","699.92","711.23","699.50","44.32M","2.34%"
"2026-5-7","694.94","696.58","701.24","691.77","43.78M","-0.12%"
"2026-5-6","695.77","687.78","695.93","686.48","38.78M","2.08%"
"2026-5-5","681.61","677.96","682.77","677.51","37.10M","1.30%"
"2026-5-4","672.88","674.66","676.73","668.90","34.54M","-0.19%"
"2026-5-1","674.15","669.16","675.97","668.80","39.17M","0.96%"
"2026-4-30","667.74","665.35","668.90","657.56","40.62M","0.93%"
"2026-4-29","661.57","658.63","661.72","656.59","31.72M","0.61%"
"2026-4-28","657.55","657.41","659.64","653.81","34.15M","-1.01%"
"2026-4-27","664.23","663.40","664.43","660.69","32.72M","0.05%"
"2026-4-24","663.88","658.51","664.51","656.53","45.56M","1.91%"
"2026-4-23","651.42","653.55","656.92","645.52","40.10M","-0.56%"
"2026-4-22","655.11","650.15","655.33","648.52","37.37M","1.67%"
"2026-4-21","644.33","648.41","650.20","642.21","39.58M","-0.38%"
"2026-4-20","646.79","648.04","648.76","642.52","37.14M","-0.32%"
"2026-4-17","648.85","645.59","650.00","644.07","53.49M","1.31%"
"2026-4-16","640.47","639.21","642.18","635.26","42.32M","0.48%"
"2026-4-15","637.40","629.08","637.83","628.20","50.10M","1.40%"
"2026-4-14","628.60","620.22","628.60","620.10","49.92M","1.82%"
"2026-4-13","617.39","609.48","626.74","608.11","32.97M","1.03%"
"2026-4-10","611.07","611.84","613.67","609.58","34.04M","0.14%"
"2026-4-9","610.19","605.93","610.50","603.03","37.84M","0.68%"
"2026-4-8","606.09","608.71","609.90","602.12","63.09M","2.97%"
"2026-4-7","588.59","585.64","588.98","578.40","49.95M","0.02%"
"2026-4-6","588.50","586.23","590.61","584.69","35.11M","0.60%"
"2026-4-2","584.98","573.97","586.05","571.92","50.94M","0.11%"
"2026-4-1","584.31","581.48","587.74","580.42","79.44M","1.24%"
"2026-3-31","577.18","564.29","578.64","564.21","95.88M","3.39%"
"2026-3-30","558.28","567.38","568.05","555.60","70.60M","-0.76%"
"2026-3-27","562.58","570.81","571.02","561.57","82.70M","-1.95%"
"2026-3-26","573.79","582.60","584.63","573.43","81.49M","-2.39%"
"2026-3-25","587.82","589.14","591.37","585.69","60.48M","0.66%"
"2026-3-24","583.98","584.81","587.93","581.93","57.75M","-0.68%"
"2026-3-23","588.00","590.52","595.08","585.96","89.94M","1.02%"
"2026-3-20","582.06","591.06","591.17","578.54","91.96M","-1.85%"
"2026-3-19","593.02","589.51","595.80","587.08","75.60M","-0.32%"
"2026-3-18","594.90","601.49","603.16","594.56","56.13M","-1.39%"
"2026-3-17","603.31","603.14","605.90","601.87","47.11M","0.49%"
"2026-3-16","600.38","600.04","603.86","599.11","49.08M","1.12%"
"2026-3-13","593.72","599.73","603.60","592.57","63.15M","-0.59%"
"2026-3-12","597.26","602.76","604.14","597.05","71.84M","-1.72%"
"2026-3-11","607.69","608.95","612.43","605.03","60.11M","-0.01%"
"2026-3-10","607.77","607.78","613.29","605.42","64.08M","0.00%"
"2026-3-9","607.76","594.22","609.27","591.33","93.07M","1.34%"
"2026-3-6","599.75","600.31","606.00","598.33","86.30M","-1.50%"
"2026-3-5","608.91","607.40","612.76","602.26","89.60M","-0.30%"
"2026-3-4","610.75","604.16","612.88","603.43","70.94M","1.52%"
"2026-3-3","601.58","596.33","603.96","591.87","97.02M","-1.07%"
"2026-3-2","608.09","598.86","609.92","597.99","75.26M","0.13%"
"2026-2-27","607.29","602.98","608.32","602.19","68.13M","-0.32%"
"2026-2-26","609.24","615.59","615.59","603.98","96.18M","-1.21%"
"2026-2-25","616.68","611.07","616.83","611.00","55.71M","1.45%"
"2026-2-24","607.87","602.40","608.99","599.73","55.02M","1.07%"
"2026-2-23","601.41","606.60","608.01","599.05","63.86M","-1.22%"
"2026-2-20","608.81","600.12","610.35","599.23","74.13M","0.88%"
"2026-2-19","603.47","602.81","605.82","600.75","60.96M","-0.38%"
"2026-2-18","605.79","602.11","609.77","600.72","64.25M","0.75%"
"2026-2-17","601.30","598.38","603.95","593.34","69.01M","-0.10%"
"2026-2-13","601.92","600.43","606.48","596.42","69.24M","0.21%"
"2026-2-12","600.64","614.71","615.81","599.57","81.38M","-2.03%"
"2026-2-11","613.11","616.38","617.52","607.69","58.58M","0.27%"
"2026-2-10","611.47","615.30","617.02","611.01","53.94M","-0.46%"
"2026-2-9","614.32","607.54","616.46","605.07","56.80M","0.77%"
"2026-2-6","609.65","600.19","611.41","598.77","78.02M","2.11%"
"2026-2-5","597.03","600.21","604.81","594.76","89.35M","-1.44%"
"2026-2-4","605.75","615.02","615.10","600.47","81.85M","-1.75%"
"2026-2-3","616.52","628.30","629.98","610.96","81.23M","-1.54%"
"2026-2-2","626.14","618.70","628.49","618.66","49.02M","0.69%"
"2026-1-30","621.87","625.71","628.26","619.30","65.65M","-1.20%"
"2026-1-29","629.43","632.65","633.67","618.27","79.94M","-0.60%"
"2026-1-28","633.22","635.46","636.60","631.81","50.69M","0.33%"
"2026-1-27","631.13","628.91","632.04","627.34","39.00M","0.91%"
"2026-1-26","625.46","623.21","627.61","622.12","35.98M","0.44%"
"2026-1-23","622.72","619.73","625.40","618.65","43.65M","0.32%"
"2026-1-22","620.76","622.35","622.46","617.78","42.25M","0.73%"
"2026-1-21","616.28","609.47","620.42","607.86","79.84M","1.35%"
