"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-5-15","11,588.5","11,672.5","11,810.7","11,522.3","","-4.02%"
"2026-5-14","12,073.8","11,950.1","12,141.5","11,892.4","","0.46%"
"2026-5-13","12,018.0","11,988.8","12,106.6","11,739.2","","2.57%"
"2026-5-12","11,717.3","11,741.5","11,919.0","11,263.6","","-3.01%"
"2026-5-11","12,081.0","11,875.3","12,108.7","11,822.5","","2.59%"
"2026-5-8","11,775.5","11,408.0","11,776.7","11,388.4","","5.51%"
"2026-5-7","11,161.0","11,332.2","11,404.4","11,075.1","","-2.72%"
"2026-5-6","11,472.8","11,243.8","11,477.4","11,063.0","","4.48%"
"2026-5-5","10,980.6","10,759.2","11,058.2","10,718.5","","4.23%"
"2026-5-4","10,534.7","10,656.1","10,690.5","10,430.2","","-0.57%"
"2026-5-2","10,595.3","10,388.8","10,595.3","10,595.3","","0.00%"
"2026-5-1","10,595.3","10,388.8","10,624.2","10,364.4","","0.87%"
"2026-4-30","10,503.7","10,387.8","10,516.4","10,229.9","","2.26%"
"2026-4-29","10,271.3","10,192.3","10,273.0","10,113.2","","2.35%"
"2026-4-28","10,035.6","9,979.2","10,185.0","9,865.4","","-3.58%"
"2026-4-27","10,408.0","10,533.3","10,536.9","10,251.7","","-1.00%"
"2026-4-24","10,513.7","10,463.8","10,564.0","10,271.0","","4.32%"
"2026-4-23","10,078.6","9,984.7","10,206.2","9,923.4","","1.71%"
"2026-4-22","9,909.3","9,817.1","9,914.1","9,698.9","","2.72%"
"2026-4-21","9,647.2","9,676.8","9,721.4","9,569.7","","0.50%"
"2026-4-20","9,599.2","9,604.9","9,612.1","9,462.9","","0.45%"
"2026-4-17","9,555.9","9,477.9","9,556.4","9,419.1","","2.43%"
"2026-4-16","9,329.3","9,215.9","9,356.2","9,145.0","","0.97%"
"2026-4-15","9,239.3","9,189.2","9,250.0","9,035.1","","0.16%"
"2026-4-14","9,224.1","9,133.3","9,225.5","9,042.2","","2.04%"
"2026-4-13","9,039.5","8,873.3","9,044.8","8,838.0","","1.68%"
"2026-4-10","8,889.8","8,812.2","8,963.0","8,795.6","","2.31%"
"2026-4-9","8,689.5","8,561.2","8,699.5","8,543.6","","2.10%"
"2026-4-8","8,510.9","8,497.9","8,526.4","8,320.9","","6.34%"
"2026-4-7","8,003.9","7,915.2","8,006.3","7,790.1","","1.11%"
"2026-4-6","7,916.1","7,917.9","7,963.6","7,821.8","","1.06%"
"2026-4-2","7,833.4","7,544.9","7,843.7","7,506.0","","0.40%"
"2026-4-1","7,802.3","7,680.6","7,893.7","7,677.5","","2.82%"
"2026-3-31","7,588.2","7,277.9","7,591.3","7,274.1","","6.24%"
"2026-3-30","7,142.3","7,517.5","7,546.7","7,084.1","","-4.23%"
"2026-3-27","7,457.7","7,545.4","7,611.6","7,427.1","","-1.69%"
"2026-3-26","7,585.9","7,823.8","7,831.8","7,582.9","","-4.79%"
"2026-3-25","7,967.7","7,935.7","8,025.7","7,896.2","","1.21%"
"2026-3-24","7,872.7","7,732.8","7,924.4","7,709.5","","1.28%"
"2026-3-23","7,773.1","7,825.8","7,958.0","7,734.4","","1.34%"
"2026-3-20","7,670.6","7,862.7","7,880.8","7,572.1","","-2.45%"
"2026-3-19","7,863.3","7,561.8","7,913.4","7,548.5","","0.87%"
"2026-3-18","7,795.1","7,883.1","7,913.7","7,794.3","","-0.53%"
"2026-3-17","7,836.8","7,828.8","7,866.6","7,763.9","","0.52%"
"2026-3-16","7,796.2","7,846.3","7,896.8","7,762.1","","1.96%"
"2026-3-13","7,646.6","7,744.0","7,819.0","7,618.0","","0.05%"
"2026-3-12","7,643.2","7,771.5","7,805.3","7,612.9","","-3.43%"
"2026-3-11","7,914.6","7,918.3","8,002.9","7,881.2","","0.63%"
"2026-3-10","7,865.1","7,846.5","8,017.1","7,831.1","","0.70%"
"2026-3-9","7,810.4","7,388.3","7,826.5","7,363.2","","3.93%"
"2026-3-6","7,514.7","7,627.7","7,776.7","7,466.5","","-3.93%"
"2026-3-5","7,821.8","7,875.9","7,965.3","7,660.7","","-1.17%"
"2026-3-4","7,914.5","7,891.3","7,959.9","7,807.3","","1.93%"
"2026-3-3","7,764.9","7,806.3","7,855.9","7,673.1","","-4.58%"
"2026-3-2","8,137.4","7,919.9","8,144.3","7,908.8","","0.48%"
"2026-2-27","8,098.4","8,036.8","8,140.0","8,009.3","","-1.21%"
"2026-2-26","8,197.3","8,403.0","8,422.1","8,062.1","","-3.19%"
"2026-2-25","8,467.4","8,442.8","8,498.1","8,418.5","","1.62%"
"2026-2-24","8,332.3","8,314.7","8,387.6","8,225.7","","1.45%"
"2026-2-23","8,213.5","8,248.4","8,291.4","8,124.3","","-0.57%"
"2026-2-20","8,260.4","8,109.0","8,308.3","8,106.0","","1.07%"
"2026-2-19","8,173.3","8,133.2","8,182.4","8,076.8","","-0.50%"
"2026-2-18","8,214.4","8,170.3","8,303.3","8,137.5","","0.96%"
"2026-2-17","8,136.0","8,022.0","8,210.5","7,927.0","","-0.02%"
"2026-2-13","8,137.9","8,137.9","8,137.9","8,137.9","","0.66%"
"2026-2-12","8,084.7","8,358.1","8,400.0","8,079.8","","-2.50%"
"2026-2-11","8,291.9","8,263.2","8,345.7","8,100.6","","2.28%"
"2026-2-10","8,107.1","8,191.6","8,197.9","8,051.9","","-0.68%"
"2026-2-9","8,162.6","7,991.2","8,209.6","7,948.5","","1.42%"
"2026-2-6","8,048.6","7,762.1","8,071.5","7,752.5","","5.70%"
"2026-2-5","7,614.6","7,531.9","7,727.3","7,473.8","","-0.06%"
"2026-2-4","7,619.2","7,863.1","7,955.5","7,461.7","","-4.36%"
"2026-2-3","7,966.3","8,203.0","8,239.6","7,796.5","","-2.07%"
"2026-2-2","8,134.5","7,955.1","8,215.4","7,954.7","","1.70%"
"2026-1-30","7,998.5","8,206.3","8,310.0","7,947.9","","-3.87%"
"2026-1-29","8,320.4","8,340.0","8,387.0","8,020.9","","0.16%"
"2026-1-28","8,306.7","8,287.5","8,341.8","8,227.5","","2.34%"
"2026-1-27","8,117.2","8,030.4","8,157.3","8,009.5","","2.40%"
"2026-1-26","7,927.0","7,917.2","7,982.9","7,881.4","","-0.39%"
"2026-1-23","7,957.9","8,024.2","8,032.2","7,905.1","","-1.21%"
"2026-1-22","8,055.2","8,187.0","8,188.2","8,032.4","","0.16%"
"2026-1-21","8,042.1","7,909.6","8,113.7","7,869.7","","3.18%"
"2026-1-20","7,794.2","7,807.9","7,931.9","7,767.5","","-1.68%"
"2026-1-16","7,927.4","7,927.4","7,927.4","7,927.4","","1.15%"
"2026-1-15","7,837.3","7,961.0","7,998.1","7,834.0","","1.76%"
"2026-1-14","7,701.5","7,688.5","7,707.4","7,598.5","","-0.60%"
"2026-1-13","7,748.0","7,725.1","7,825.9","7,715.9","","0.95%"
"2026-1-12","7,674.8","7,574.2","7,703.1","7,568.1","","0.47%"
"2026-1-9","7,638.8","7,471.3","7,678.9","7,467.8","","2.73%"
"2026-1-8","7,436.1","7,543.2","7,548.3","7,372.8","","-1.83%"
"2026-1-7","7,574.9","7,554.8","7,601.1","7,512.9","","-0.99%"
"2026-1-6","7,650.9","7,542.6","7,665.8","7,521.9","","2.75%"
"2026-1-5","7,446.5","7,570.4","7,577.3","7,415.7","","1.07%"
"2026-1-2","7,367.5","7,288.7","7,418.3","7,286.3","","4.01%"
"2025-12-31","7,083.1","7,184.9","7,193.5","7,082.6","","-1.20%"
"2025-12-30","7,169.1","7,206.0","7,229.8","7,167.0","","-0.13%"
"2025-12-29","7,178.3","7,116.2","7,205.2","7,098.8","","-0.41%"
"2025-12-26","7,207.6","7,229.7","7,233.1","7,188.6","","0.05%"
"2025-12-24","7,204.4","7,191.7","7,212.5","7,173.3","","0.28%"
"2025-12-23","7,184.5","7,118.4","7,186.4","7,091.5","","0.55%"
"2025-12-22","7,145.6","7,204.0","7,206.4","7,120.0","","1.10%"
"2025-12-19","7,067.9","6,942.5","7,095.0","6,942.5","","2.98%"
"2025-12-18","6,863.6","6,938.9","6,970.2","6,831.7","","2.51%"
"2025-12-17","6,695.3","6,993.1","7,005.1","6,680.7","","-3.78%"
"2025-12-16","6,958.4","6,977.9","7,019.1","6,888.6","","-0.46%"
"2025-12-15","6,990.4","7,096.3","7,126.0","6,971.4","","-0.61%"
"2025-12-12","7,033.6","7,297.8","7,331.4","7,003.4","","-5.10%"
"2025-12-11","7,411.5","7,353.1","7,419.6","7,208.2","","-0.75%"
"2025-12-10","7,467.5","7,369.7","7,490.3","7,333.5","","1.29%"
"2025-12-9","7,372.5","7,325.8","7,386.4","7,300.0","","-0.04%"
